patient|anim_group|breed|age_in_days|wt_in_kg|amount|amount_units|amount_certain|expo_time|expo_certain|finding_type|finding_numb|when_seen|finding|status|time_to_onset
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|1|"1993-03-31-18.00.13"|"Vomiting"|"Moderate"|"00000000060000.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|3|"1993-03-31-18.00.24"|"Tremors"|"Mild"|"00000000060011.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|2|"1993-03-31-18.00.52"|"Lethargy"|"Moderate"|"00000000060039.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|3|"1993-04-01-06.00.41"|"Tremors"|"Normal"|"00000000180028.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|4|"1993-04-02-12.00.19"|"Dehydration"|"Moderate"|"00000002000006.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|1|"1993-04-02-12.00.48"|"Vomiting"|"Mild"|"00000002000035.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|5|"1993-04-02-15.00.24"|"Abdominal Pain"|"Mild"|"00000002030011.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|4|"1993-04-02-15.00.27"|"Dehydration"|"Normal"|"00000002030014.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Diag Proced"|8|"1993-04-06-12.00.44"|"Histopathology"|"Abnormal"|"00000006000031.000000"
10008451|"Canine Domestic"|"Chesapeake Bay Retriever"|547|23.1|2.000|"lb"|"Evidence"|"1993-03-31-12.00.13"|"Evidence"|"Condition"|2|"1993-04-07-06.00.13"|"Lethargy"|"Severe"|"00000006180000.000000"
